original_file_name	gDNA_%_or_pg	library_type
0_01PCT_gDNA_at_beginning_1_L1.LB6_1.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_1_L1.LB6_2.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_2_L1.LB7_1.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_2_L1.LB7_2.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_3_L1.LB12_1.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_3_L1.LB12_2.fastq.gz	0.01	Poly_A_Selection
0_01PCT_gDNA_at_beginning_RZ1_L6.LB16_1.fastq.gz	0.01	Ribo_Zero
0_01PCT_gDNA_at_beginning_RZ1_L6.LB16_2.fastq.gz	0.01	Ribo_Zero
0_01PCT_gDNA_at_beginning_RZ2_L6.LB18_1.fastq.gz	0.01	Ribo_Zero
0_01PCT_gDNA_at_beginning_RZ2_L6.LB18_2.fastq.gz	0.01	Ribo_Zero
0_01PCT_gDNA_at_beginning_RZ3_L6.LB19_1.fastq.gz	0.01	Ribo_Zero
0_01PCT_gDNA_at_beginning_RZ3_L6.LB19_2.fastq.gz	0.01	Ribo_Zero
0_1PCT_gDNA_at_beginning_1_L2.LB13_1.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_1_L2.LB13_2.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_2_L2.LB14_1.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_2_L2.LB14_2.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_3_L2.LB15_1.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_3_L2.LB15_2.fastq.gz	0.1	Poly_A_Selection
0_1PCT_gDNA_at_beginning_RZ1_L7.LB2_1.fastq.gz	0.1	Ribo_Zero
0_1PCT_gDNA_at_beginning_RZ1_L7.LB2_2.fastq.gz	0.1	Ribo_Zero
0_1PCT_gDNA_at_beginning_RZ2_L7.LB4_1.fastq.gz	0.1	Ribo_Zero
0_1PCT_gDNA_at_beginning_RZ2_L7.LB4_2.fastq.gz	0.1	Ribo_Zero
0_1PCT_gDNA_at_beginning_RZ3_L7.LB5_1.fastq.gz	0.1	Ribo_Zero
0_1PCT_gDNA_at_beginning_RZ3_L7.LB5_2.fastq.gz	0.1	Ribo_Zero
100_pg_gDNA_after_2nd_strand_1_L5.LB2_1.fastq.gz	100pg	Poly_A_Selection
100_pg_gDNA_after_2nd_strand_1_L5.LB2_2.fastq.gz	100pg	Poly_A_Selection
100_pg_gDNA_after_2nd_strand_2_L5.LB4_1.fastq.gz	100pg	Poly_A_Selection
100_pg_gDNA_after_2nd_strand_2_L5.LB4_2.fastq.gz	100pg	Poly_A_Selection
100_pg_gDNA_after_2nd_strand_3_L5.LB5_1.fastq.gz	100pg	Poly_A_Selection
100_pg_gDNA_after_2nd_strand_3_L5.LB5_2.fastq.gz	100pg	Poly_A_Selection
10PCT_gDNA_at_beginning_1_L3.LB2_1.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_1_L3.LB2_2.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_2_L3.LB4_1.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_2_L3.LB4_2.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_3_L3.LB5_1.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_3_L3.LB5_2.fastq.gz	10	Poly_A_Selection
10PCT_gDNA_at_beginning_RZ1_L8.LB13_1.fastq.gz	10	Ribo_Zero
10PCT_gDNA_at_beginning_RZ1_L8.LB13_2.fastq.gz	10	Ribo_Zero
10PCT_gDNA_at_beginning_RZ2_L8.LB14_1.fastq.gz	10	Ribo_Zero
10PCT_gDNA_at_beginning_RZ2_L8.LB14_2.fastq.gz	10	Ribo_Zero
10PCT_gDNA_at_beginning_RZ3_L8.LB15_1.fastq.gz	10	Ribo_Zero
10PCT_gDNA_at_beginning_RZ3_L8.LB15_2.fastq.gz	10	Ribo_Zero
10_pg_gDNA_after_2nd_strand_1_L4.LB16_1.fastq.gz	10pg	Poly_A_Selection
10_pg_gDNA_after_2nd_strand_1_L4.LB16_2.fastq.gz	10pg	Poly_A_Selection
10_pg_gDNA_after_2nd_strand_2_L4.LB18_1.fastq.gz	10pg	Poly_A_Selection
10_pg_gDNA_after_2nd_strand_2_L4.LB18_2.fastq.gz	10pg	Poly_A_Selection
10_pg_gDNA_after_2nd_strand_3_L4.LB19_1.fastq.gz	10pg	Poly_A_Selection
10_pg_gDNA_after_2nd_strand_3_L4.LB19_2.fastq.gz	10pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_1_L5.LB6_1.fastq.gz	1000pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_1_L5.LB6_2.fastq.gz	1000pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_2_L5.LB7_1.fastq.gz	1000pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_2_L5.LB7_2.fastq.gz	1000pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_3_L5.LB12_1.fastq.gz	1000pg	Poly_A_Selection
1_ng_gDNA_after_2nd_strand_3_L5.LB12_2.fastq.gz	1000pg	Poly_A_Selection
1PCT_gDNA_at_beginning_1_L2.LB16_1.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_1_L2.LB16_2.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_2_L2.LB18_1.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_2_L2.LB18_2.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_3_L2.LB19_1.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_3_L2.LB19_2.fastq.gz	1	Poly_A_Selection
1PCT_gDNA_at_beginning_RZ1_L7.LB6_1.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ1_L7.LB6_2.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ2_L7.LB7_1.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ2_L7.LB7_2.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ3_L7.LB12_1.fastq.gz	1	Ribo_Zero
1PCT_gDNA_at_beginning_RZ3_L7.LB12_2.fastq.gz	1	Ribo_Zero
1_pg_gDNA_after_2nd_strand_1_L4.LB13_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_1_L4.LB13_2.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_2_L4.LB14_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_2_L4.LB14_2.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_3_L4.LB15_1.fastq.gz	1pg	Poly_A_Selection
1_pg_gDNA_after_2nd_strand_3_L4.LB15_2.fastq.gz	1pg	Poly_A_Selection
Native_untreated_1_L1.LB2_1.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_1_L1.LB2_2.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_2_L1.LB4_1.fastq.gz	No_DNase	Poly_A_Selection
Native_untreated_2_L1.LB4_2.fastq.gz	No_DNase	Poly_A_Selection
